Fecha,Tienda,Región,Venta
2/24/2020,BlogXS,West,843595
10/29/2020,Meejo,West,918803
1/11/2020,Gigashots,East,545410
7/5/2020,Centidel,North,997569
12/25/2020,Kazu,South,550337
1/2/2021,Dablist,Central,795017
10/31/2020,Jaxnation,South,837141
11/12/2021,Bluezoom,South,190506
11/2/2021,Buzzbean,West,221379
5/29/2021,Yotz,West,850232
6/14/2020,Linktype,East,536605
10/29/2020,Jabberstorm,East,685361
9/1/2021,Edgeblab,Central,458585
11/2/2021,Devify,South,858127
7/29/2020,Gigashots,East,655181
4/29/2021,Camido,Central,657040
10/15/2020,Dynazzy,South,411059
10/8/2021,Gigashots,North,778542
11/28/2021,Gabtune,South,918200
5/30/2020,Shufflester,West,135686
7/21/2020,Zooxo,East,775726
3/20/2020,Realblab,Central,612579
4/13/2021,Realbridge,Central,358713
1/12/2021,Ntags,East,359014
9/9/2021,Riffpedia,West,558090
1/31/2020,Twitterwire,East,153007
8/5/2021,Divape,South,546998
11/9/2021,Bluezoom,Central,361031
12/15/2021,Oloo,West,322752
10/20/2021,Gabvine,Central,767933
2/25/2020,JumpXS,North,326704
7/28/2021,Camido,North,496675
2/26/2020,Jetwire,Central,764108
2/16/2020,Blogtags,West,106592
7/27/2021,Reallinks,South,934878
8/22/2020,Wikibox,South,411359
3/15/2020,Twitterbeat,West,381694
10/17/2020,Rhynyx,South,570538
8/22/2020,Feedbug,North,329466
5/17/2021,Zoonoodle,South,713839
9/25/2021,Quamba,South,426029
10/6/2021,Wikizz,Central,186872
2/1/2021,Zoombeat,East,351372
4/16/2020,Ntags,Central,563720
3/8/2021,Zooveo,East,946279
1/18/2021,Buzzdog,North,562128
8/3/2020,Mita,North,889383
1/3/2020,Avamba,South,411721
10/7/2021,Bubblebox,North,889436
5/11/2021,Dynazzy,South,973374
7/23/2021,Realcube,East,398494
11/17/2020,Buzzdog,North,571867
3/30/2020,Plajo,East,640453
10/19/2020,Trudeo,North,383445
11/10/2021,Yakidoo,East,281731
3/5/2021,Meevee,East,374017
6/1/2020,Wikizz,West,608775
7/1/2020,Zoomcast,South,977565
12/15/2021,Buzzster,North,775621
10/28/2020,Babbleset,South,367567
10/8/2020,Dabtype,Central,971447
5/24/2021,Livetube,South,320353
3/21/2021,Feednation,Central,102186
10/24/2021,Mydo,North,542601
1/2/2020,Zoomdog,West,466831
4/8/2021,Photojam,South,430650
11/8/2021,Mybuzz,North,561223
1/10/2021,Divanoodle,North,110973
7/9/2021,Skippad,Central,427293
8/13/2021,Skiptube,Central,323498
3/12/2020,Jetwire,South,627482
4/12/2021,Quimm,North,396468
10/22/2021,Thoughtblab,South,564893
3/25/2021,Twitterworks,South,968369
6/1/2020,Wordify,East,353852
1/18/2020,Topdrive,West,280335
5/7/2021,Oozz,West,671858
4/9/2020,Twitterbeat,East,894032
8/12/2021,Wikivu,West,598051
11/17/2020,Rhynyx,East,919583
3/9/2021,Quinu,East,402812
7/8/2020,Realblab,Central,924392
1/7/2020,Kazio,North,496102
12/18/2021,Thoughtstorm,South,965447
10/1/2020,Topicware,West,221718
4/19/2021,Babbleopia,North,524773
9/10/2021,Realpoint,West,763905
5/21/2020,Avamm,East,460817
8/7/2020,Blogspan,East,546955
12/1/2021,Podcat,Central,311485
11/3/2020,Trilith,South,697922
10/14/2020,Skipstorm,North,713962
12/10/2021,Skyvu,East,478811
6/27/2021,Wikizz,Central,949828
4/9/2021,Twitterbridge,South,197040
1/23/2021,Gigabox,North,642487
6/1/2021,Bluezoom,West,289930
6/18/2021,Kazu,Central,299627
12/15/2020,Topicshots,Central,747473
7/16/2021,Oodoo,South,372085
7/16/2020,Voolith,East,636373
6/19/2020,Babblestorm,East,677214
8/9/2020,Edgepulse,North,772123
9/1/2021,Npath,South,759151
4/15/2021,Divanoodle,West,765883
12/13/2021,Quamba,West,975761
9/18/2021,Leexo,South,261291
2/14/2021,Trilia,West,904444
9/21/2021,Dynava,West,211337
3/28/2021,Oyonder,South,883610
10/1/2021,Devpulse,North,857652
4/9/2021,Livefish,South,112864
4/7/2021,Devcast,West,887656
4/14/2021,Oloo,Central,367443
2/9/2021,Wordware,South,882545
2/18/2020,Twitterbeat,North,205123
5/8/2020,Thoughtbridge,East,339129
7/4/2020,Trupe,West,207500
9/17/2020,Topicshots,East,481729
1/7/2021,Flipstorm,South,117644
11/14/2021,Muxo,West,541725
7/4/2021,JumpXS,Central,376802
1/15/2020,Tagfeed,Central,734276
3/18/2020,Browsebug,Central,532103
6/15/2020,Rhybox,Central,396675
5/27/2021,Chatterbridge,Central,916333
1/11/2020,Agivu,North,629247
6/27/2020,Voolia,North,661749
9/14/2021,Photospace,Central,620999
6/15/2021,Avamm,Central,697178
4/4/2020,Rhycero,North,548010
7/15/2021,Npath,Central,227893
12/3/2021,Thoughtbeat,Central,785944
11/1/2021,Buzzbean,West,285187
5/27/2021,Brainsphere,South,878931
7/10/2021,Oyope,South,130624
1/4/2021,Divape,Central,997640
1/26/2021,Flashpoint,East,567600
12/12/2021,Babbleopia,North,372423
5/31/2020,Quatz,North,311203
7/24/2021,Mydeo,East,891812
4/8/2020,Bluejam,East,754839
10/26/2021,Jamia,West,758162
10/16/2021,Jazzy,East,688295
1/19/2020,Centizu,East,258935
11/11/2021,Twitterbridge,Central,783172
8/8/2021,Oba,West,535472
7/16/2020,Centizu,South,439569
4/12/2020,Wikido,North,386006
10/21/2020,Yodoo,Central,375935
5/4/2020,Voonder,East,982149
1/13/2021,Quimba,West,935330
1/19/2021,Trilia,West,800897
1/5/2020,Livetube,South,862813
4/16/2021,Edgeclub,West,124396
5/11/2021,Kaymbo,South,754534
10/16/2021,Viva,North,353840
7/2/2021,Zoomdog,West,915315
5/10/2021,Quinu,South,246494
6/8/2021,Browsedrive,North,835822
9/13/2020,Babbleopia,Central,562277
4/7/2020,Rhyloo,Central,488642
2/8/2020,Rhybox,East,680144
12/12/2020,Jaxnation,West,724432
3/5/2021,Tagfeed,Central,776054
4/14/2021,Eare,East,865147
7/7/2020,Yotz,South,778229
3/13/2021,Brightdog,South,639071
1/10/2021,Realcube,West,346593
5/6/2021,Twimm,East,177592
6/12/2020,Yata,West,499552
4/6/2021,Zoomcast,East,254156
9/9/2021,Yakitri,South,507241
8/5/2020,Reallinks,Central,635357
7/30/2020,Wordware,South,725435
8/7/2020,Livetube,Central,552892
7/27/2020,Muxo,West,463067
12/6/2021,Thoughtstorm,Central,472642
6/30/2020,Brainlounge,West,316269
1/31/2021,Flipbug,Central,634545
10/25/2020,Miboo,East,895032
10/25/2020,Tagpad,Central,668995
4/20/2021,Kwimbee,South,601124
7/19/2020,Yabox,East,671316
8/6/2021,Twitterlist,Central,825499
5/25/2021,Realfire,West,995225
8/3/2021,Twitterbeat,South,447852
9/13/2021,Jatri,South,474045
4/2/2020,Jaxnation,West,265333
1/22/2021,Yakitri,West,406381
10/4/2020,Minyx,North,766248
1/23/2021,Flipbug,East,576556
2/28/2021,Innojam,North,631879
5/23/2021,Topicware,South,755729
11/10/2020,Gigaclub,West,272195
11/7/2021,Ailane,Central,920597
2/27/2020,Einti,Central,133386
7/9/2020,Yambee,North,133229
2/26/2021,Dabvine,North,480562
8/25/2020,Browseblab,South,872106
6/23/2021,Brainbox,East,602286
1/21/2021,Eayo,West,538152
11/11/2021,Rhybox,West,103928
1/11/2020,Devshare,South,558169
11/10/2021,Trudoo,West,298168
3/5/2021,Flashdog,South,926174
2/21/2020,Oba,East,159998
6/8/2020,Plambee,Central,573863
1/14/2021,Quimba,North,267682
3/10/2020,Twimbo,East,664417
5/20/2021,Livetube,East,596100
9/21/2021,Realblab,North,358001
2/10/2021,Tagchat,West,103809
6/12/2020,Katz,East,170067
5/6/2020,Skajo,Central,603928
9/19/2021,Topicstorm,East,474001
6/28/2020,Browsebug,North,430090
9/6/2021,Thoughtbridge,East,610726
12/30/2020,Photospace,East,880288
12/28/2020,Fivebridge,East,651184
2/28/2021,Mybuzz,North,807779
2/26/2021,Livetube,Central,323394
10/27/2020,Oodoo,Central,299878
1/16/2020,Browsecat,West,335628
5/28/2021,Voonyx,North,292518
10/5/2020,Brightbean,North,939425
11/16/2021,Flashdog,East,248605
8/11/2021,Tazz,West,473207
